,age,workclass
0,39, State-gov
1,50, Self-emp-not-inc
2,38, Private
3,53, Private
4,28, Private
5,37, Private
6,49, Private
7,52, Self-emp-not-inc
8,31, Private
9,42, Private
10,37, Private
11,30, State-gov
12,23, Private
13,32, Private
14,40, Private
15,34, Private
16,25, Self-emp-not-inc
17,32, Private
18,38, Private
19,43, Self-emp-not-inc
20,40, Private
21,54, Private
22,35, Federal-gov
23,43, Private
24,59, Private
25,56, Local-gov
26,19, Private
27,54, ?
28,39, Private
29,49, Private
30,23, Local-gov
31,20, Private
32,45, Private
33,30, Federal-gov
34,22, State-gov
35,48, Private
36,21, Private
37,19, Private
38,31, Private
39,48, Self-emp-not-inc
40,31, Private
41,53, Self-emp-not-inc
42,24, Private
43,49, Private
44,25, Private
45,57, Federal-gov
46,53, Private
47,44, Private
48,41, State-gov
49,29, Private
50,25, Private
51,18, Private
52,47, Private
53,50, Federal-gov
54,47, Self-emp-inc
55,43, Private
56,46, Private
57,35, Private
58,41, Private
59,30, Private
60,30, Private
61,32, ?
62,48, Private
63,42, Private
64,29, Private
65,36, Private
66,28, Private
67,53, Private
68,49, Self-emp-inc
69,25, ?
70,19, Private
71,31, Private
72,29, Self-emp-not-inc
73,23, Private
74,79, Private
75,27, Private
76,40, Private
77,67, ?
78,18, Private
79,31, Local-gov
80,18, Private
81,52, Private
82,46, Private
83,59, Private
84,44, Private
85,53, Private
86,49, Local-gov
87,33, Private
88,30, Private
89,43, Federal-gov
90,57, Private
91,37, Private
92,28, Private
93,30, Private
94,34, Local-gov
95,29, Local-gov
96,48, Self-emp-not-inc
97,37, Private
98,48, Private
99,32, Federal-gov
100,76, Private
101,44, Private
102,47, Self-emp-not-inc
103,20, Private
104,29, Private
105,32, Self-emp-inc
106,17, ?
107,30, Private
108,31, Local-gov
109,42, Private
110,24, Private
111,38, Private
112,56, Self-emp-not-inc
113,28, Private
114,36, Private
115,53, Private
116,56, Self-emp-inc
117,49, Local-gov
118,55, Private
119,22, Private
120,21, Private
121,40, Private
122,30, Private
123,29, State-gov
124,19, Private
125,47, Private
126,20, Private
127,31, Private
128,35, ?
129,39, Private
130,28, Private
131,24, Private
132,38, Self-emp-not-inc
133,37, Private
